english,japanese,pos,en_sentence,jp_sentence
age,年齢,名詞,You must take his age into account.,君は彼の年齢を考慮に入れなければならない。
ago,～前に,副詞,It was twenty years ago as I look back on it.,回顧すればもう２０年の昔となった。
agree,同意する；一致する；合う,動詞,I don't agree with him.,彼には賛成できません。
agreement,合意；協定；一致,名詞,There is very little probability of an agreement being reached.,協定が結ばれる可能性は極めて少ない。
ahead,前方に；先に,副詞,You can get ahead in the world.,君は成功するよ。
air,空気,名詞,To live without air is impossible.,空気無しで生きることは不可能です。
all,すべて,副詞,"When will you be back? ""It all depends on the weather.""",「いつ戻りますか」「天候次第です」
allow,許可する,動詞,Excuse me; allow me to point out three errors in the above article.,失礼だが、上記の記事にある３つの誤りを指摘しておきたい。
almost,ほとんど,副詞,It almost scared me not to see you online for a whole day.,丸一日オンラインで君を見ないなんてびっくりだよ。
alone,独りで；ただ～だけ,副詞,Every person who is alone is alone because they are afraid of others.,孤独な人は、他人を恐れるから一人なのだ。
along,～に沿って,前置詞,I will go along with your plan.,私はあなたの計画に同調します。
already,すでに,副詞,It is already eleven.,１１時になっているよ。
alright,申し分ない；大丈夫である；了解した,副詞,Would it be alright to come to visit your place soon?,そのうち、あなたのところにお邪魔してもいいですか。
also,～もまた；同様に；その上,副詞,Not only you but also I was involved.,君ばかりか僕まで巻き添えを食らった。
although,〜だけれども,接続詞,The child had no overcoat on although it was very cold.,とても寒かったが、少年はオーバーを着ていなかった。
always,いつも,副詞,I always liked mysterious characters more.,私はいつも不思議な性格の方が好きだった。
amaze,びっくりさせる,動詞,His memory amazes me.,彼の記憶力にはほとほと感心する。
among,〜の間に；～の中の,前置詞,You can number me among your friends.,君は私を君の友人のうちに数えてよい。
amount,量；総計，合計に達する；結局～なる,名詞,You'll be paid according to the amount of work you do.,君の賃金は仕事量に応じて支払われる。
and,～と・・・,接続詞,Today is June 18th and it is Muiriel's birthday!,今日は６月１８日で、ムーリエルの誕生日です！
angry,腹を立てている,形容詞,Are you angry at what I said?,君は僕が言ったことに腹を立てているのか。
animal,動物,名詞,Cows are more useful than any other animal in this country.,牛はこの国では他のどんな動物よりも役に立つ。
another,もう一つの；別の,限定詞,I told them to send me another ticket.,私は彼らにチケットをもう一枚送ってくれるように頼んだ。
answer,答え,名詞,You'll have to answer for your behavior.,君は自分の行動に対して責任を取りなさい。
any,（肯定文で）どれでも,限定詞,It's useless to keep on thinking any more.,これ以上考えても無駄だ。
anybody,（疑問文で）誰か，（否定文で）誰も，（肯定文で）誰でも,代名詞,There wasn't anybody in the house.,家の中には誰もいなかった。
anymore,もはやこれ以上～しない,副詞,There's not a single safe place anymore in Japan.,平和なところなんて、もう、日本のどこにもありませんよ。
anyone,（疑問文で）誰か，（否定文で）誰も，（肯定文で）誰でも,代名詞,It's not something anyone can do.,それは誰にでもできるというものではない。
anything,（疑問文で）何か，（否定文で）何も，（肯定文で）何でも,名詞,I won't ask you anything else today.,今日はもう聞かないよ。
anyway,とにかく；いずれにせよ,副詞,Is that anyway to speak to your elders and betters!,ソレが年上や目上の者に対する態度か！
anywhere,（肯定文で）どこでも,副詞,You may go anywhere you like.,君はどこへでも好きなところへ行っていい。
apart,離れて；別々に,副詞,You had better set some money apart for your wedding.,君は、結婚式のためにお金を別に取っておいたほうがいい。
apparent,明白な,形容詞,It was apparent that there was no way out.,解決策がないのは明らかだった。
apparently,明白に；見掛けは,副詞,An apparently small event may lead to a great result.,一見つまらない出来事もやがてたいへんな結果になることがある。
appear,現れる,動詞,The king will appear in person tomorrow evening.,王様は明日の晩自らお出ましになる。
appearance,外観；出現；状況,名詞,To all appearance his statement was true.,どう見てもあの人の言ったことは真実のようだ。
area,地域；場所,名詞,It is risky for you to go into that area alone.,君が一人でその地域に行くのは危険だ。
arm,腕,名詞,I have a very sore arm where you hit me.,君にたたかれた腕の所がとても痛い。
around,～の周りに,副詞,With so many people around he naturally became a bit nervous.,多くの人に囲まれて彼は自然と少し緊張しだした。
arrival,到着,名詞,Our arrival at Narita was delayed by an hour.,我々の成田空港到着は１時間遅れた。
arrive,到着する,動詞,The train from Geneva will arrive at the station.,ジュネーブから来る列車が駅に到着します。
art,芸術,名詞,Karate is an art of unarmed defense.,空手は武器を用いない護身術である。
artist,芸術家；アーティスト,名詞,The artist captured the charm of the lady.,画家はその婦人の魅力をうまく捕らえた。
as,同じぐらい；～のように,前置詞,"Stop seeing me as a ""normal"" person!",私のことを凡人だと思うのはやめて！
ashamed,恥じている,形容詞,You should be ashamed of your ignorance.,君は自分の無知を恥じるべきである。
ask,尋ねる；求める；頼む,動詞,I won't ask you anything else today.,今日はもう聞かないよ。
at,～の所で；～に,前置詞,I'm at a loss for words.,何と言ったら良いか分かりません。
autumn,秋,名詞,In late summer and autumn one can see the leaves change colour.,夏の末と秋には紅葉が見られる。
aware,気づいている,形容詞,Are you aware of how much she loves you?,君は彼女がどんなに君を愛しているか気づいているのか。
awareness,認識,名詞,Developing political awareness takes time.,政治的意識を持つようになるには時間がかかる。
away,離れて,副詞,You're just running away from life's problems.,君はただ人生の問題から逃げているだけだよ。
awful,恐ろしい；ひどい,形容詞,It's an awful shame your wife couldn't come.,奥さんが来れなかったなんて至極残念です。
baby,赤ん坊,名詞,This baby penguin is too cute!,この赤ちゃんペンギンとっても可愛い！
back,もとに戻って,副詞,I will be back soon.,すぐに戻ります。
bad,悪い,形容詞,It's too bad that I don't need to lose weight.,痩せる必要がないというのは残念だ。
badly,悪く,副詞,Don't speak badly of him in his absence.,陰で彼の悪口を言うな。
bag,かばん；バッグ；袋,名詞,The robber seized the bag from his hand.,強盗はそのかばんを彼の手から奪い取った。
ball,ボール；球,名詞,The ball rolled into the stream.,球は小川の中に転がり込んだ。
bank,銀行,名詞,You can bank on that.,君はそれを当てにできる。
bar,妨げる;  (道を)ふさぐ,動詞,We had a bar of gold stolen.,金の延べ棒１本を盗まれた。
basic,基本的な,形容詞,I think your basic theory is wrong.,君の基本的な理論はおかしいと思う。
basically,基本的には,副詞,I believe men are basically good.,人間は基本的には善良だと私は信じている。
bath,浴槽,名詞,Soon the bath was cool enough for him to get into.,間もなく風呂は彼が入れるほどぬるくなりました。
be,～である,動詞,I will be back soon.,すぐに戻ります。
beach,砂浜,名詞,A short stroll along the beach gave me a good appetite for breakfast.,海岸を少し散歩したら、朝御飯をとても食べたくなった。
bear,熊,名詞,Your efforts will bear fruit someday.,君の努力はいつかは実を結ぶだろう。
beat,打ち負かす,動詞,I beat him completely in the debate.,完全に負かした。
beautiful,美しい,形容詞,Innocence is a beautiful thing.,潔白であることは美しいことだ。
beauty,美人,名詞,The charm of Kyoto consists of the beauty of its old temples.,京都の魅力は古い寺の美しさにある。
because,なぜなら～だから,接続詞,It's because you don't want to be alone.,それはあなたが一人になりたくないからです。
become,～になる,動詞,"If you eat too much, you'll become fat.",食べ過ぎると太る。
bed,ベッド,名詞,It would be better for you to stay in bed today.,君は今日寝ていたほうがよさそうだ。
before,以前に,副詞,Wash before first wearing.,最初着る前に洗濯してください。
begin,始まる；始める,動詞,Class doesn't begin until eight-thirty.,授業は八時三十分から始まるから。
behind,～の後ろに,副詞,I'll stand behind you if you are going to do it.,君にそれをやる気があるならあと押ししよう。
believe,信じる,動詞,What do you believe is true even though you cannot prove it?,証明もできないのに、一体何を真実だと信じるのだ？
below,下に；低く,副詞,Your marks were well below average this term.,君の成績は今学期は平均よりだいぶ下だった。
beneath,～の下に,前置詞,The money was hidden beneath the floorboards.,金は床板の下に隠されていた。
beside,～の近くに;～の 隣に,前置詞,I'm beside myself with joy.,うれしさで舞い上がっています。
besides,～のほか；～を除いて，その上,前置詞,There was no one in the room besides Mary and John.,メアリーとジョンのほか誰も部屋にいなかった。
bet,賭ける,動詞,I'll bet he'd have a fit if his students fell asleep.,学生が授業中に寝てしまったら、きっと怒るでしょう。
between,～の間に,前置詞,It's over between us. Give me back my ring!,私たちはもう終わったわ。指輪を返して！
beyond,～の向こうに；～を超えて；～のほかに,副詞,Your conduct is beyond bearing.,君の行為にはまったくがまんできない。
big,大きい,形容詞,You're running a big risk in trusting him.,君は大きな危険を冒しながら、彼に任せている事になる。
bill,請求書,名詞,I'll bring you the bill immediately.,すぐに伝票をお持ちします。
billion,十億,数字,The generous dentist contributed some two billion yen to charity.,気前の良いその歯科医はおよそ２０億円を慈善事業に寄付した。
bird,鳥,名詞,The early bird catches the worm.,朝起きは三文の徳。
birth,誕生,名詞,The town gave birth to many men of note.,その町は多くの有名人を生んだ。
bit,少し；部分,名詞,With so many people around he naturally became a bit nervous.,多くの人に囲まれて彼は自然と少し緊張しだした。
black,黒い,形容詞,She was wearing a black hat.,彼女は黒い帽子をかぶっていた。
blood,血,名詞,Parents who beat their children really make my blood boil.,我が子をたたく親には本当に憤慨させられる。
bloody,血がついた，ひどく,形容詞,I'd like a Bloody Mary.,ブラッディーマリーをください。
blow,吹き飛ばす,動詞,Teachers should occasionally let their students blow off some steam.,教師はときどき生徒たちのストレスを発散させてやらなければならない。
blue,青い,形容詞,The sky is as blue as blue can be.,空はあくまでも青い。
boat,ボート；船,名詞,I want a boat that will take me far away from here.,ここから遠くまで行けるボートが欲しいです。
body,体；人,名詞,I'm keeping a record of basal body temperature.,基礎体温をつけています。
bone,骨,名詞,I have a bone to pick with you.,あなたに不満があります。
book,本,名詞,Take a book and read it.,本を取ってそれを読みなさい。
both,両方,形容詞,I'll get something to drink for both of you.,君たち二人に何か飲み物を持ってきてあげよう。
bother,悩ませる；思い悩む,動詞,I will play Sudoku then instead of continuing to bother you.,君を邪魔するくらいなら私は数独をやってるよ。
bottle,ボトル；瓶,名詞,Find an empty bottle and fill it with water.,空のビンを捜して水を入れなさい。
bottom,底,名詞,Gum got stuck to the bottom of my shoe.,靴の底にガムが付いてしまった。
box,箱；ボックス,名詞,You may take either the big box or the small one.,君は大きい箱か小さい箱のどちらかをとっていいよ。
boy,男の子,名詞,Hunger compelled the boy to steal money from the cash register.,空腹のためにその少年はやむなくレジからお金を盗んだ。
bread,パン,名詞,Do you have bread for lunch?,君は昼食にパンを食べますか。
break,壊す；折る,動詞,I slept a little during lunch break because I was so tired.,僕はあまりに疲れていたので昼休みにひと眠りした。
breakfast,朝食,名詞,We have breakfast at seven.,我々は７時に朝食をとる。
breath,息；呼吸,名詞,I'm out of breath after running up the stairs.,階段を駆け上がったので、息が切れた。
bright,明るい;  まぶしい,形容詞,You have a bright future.,君には明るい未来がある。
bring,持ってくる；もたらす；至らせる,動詞,I'll bring you the bill immediately.,すぐに伝票をお持ちします。
brother,兄弟；仲間,名詞,My little brother is watching TV.,私の弟はテレビを見ている。
brown,茶色の,形容詞,Mr Brown took charge of this class last year.,去年ブラウン先生がこのクラスを受け持った。
build,建てる；作る,動詞,You must build up your courage.,君は胆力を練る必要がある。
burn,燃える；焼く,動詞,Plastic does not burn easily.,プラスチックは燃えにくい。
bus,バス,名詞,Where can I get a shuttle bus at the airport?,空港リムジンバス乗り場はどこですか。
business,会社,名詞,You have no business complaining about the matter.,君はその事に不平を言うことはないよ。
busy,忙しい,形容詞,Life is what happens to you while you're busy making other plans.,人生とは、他の予定を立てることに忙しくしている時に起こる現象のことだ。
but,でも,接続詞,"I may be antisocial, but it doesn't mean I don't talk to people.",私は反社会的かもしれないけれど人と話さないわけではない。
buy,買う,動詞,It's a pity that you can't buy miracles like you would buy potatoes.,あなたがじゃがいもを買うように奇蹟を買うことができないなんて本当に残念だわ。
buyer,買い手,名詞,They still haven't found a buyer for that house.,あの家はまだ買い手がつかない。
by,～の近くに,前置詞,You're by my side; everything's fine now.,君が側にいてくれれば何もいらない。
cake,ケーキ,名詞,Your cake is delicious.,君のケーキはおいしいね。
camp,キャンプ,名詞,We found it very hard going back to our base camp in the blizzard.,我々は吹雪の中をベースキャンプに戻るのに苦労した。
can,〜することができる,助動詞,Sometimes he can be a strange guy.,彼は時々変です。
car,車,名詞,The car crashed into the wall.,その車は壁にぶつかった。
card,カード,名詞,There is a card on the desk.,机の上に一枚のカードがある。
care,世話をする,動詞,My physics teacher doesn't care if I skip classes.,私の物理の先生は授業をサボっても気にしない。
careful,注意深い,形容詞,You must be careful not to make him angry.,君は彼を怒らせないように気をつけなければならない。
carefully,注意深く,副詞,We must feel our way carefully in the dark.,我々は暗闇の中では注意深く手探りで進まなければならない。
carry,運ぶ；持つ,動詞,Your undaunted spirit will carry you through.,君は不屈の精神で危機を切り抜けられるだろう。
case,場合,名詞,You have to judge the case without bias.,君はその問題を公正に判断しなければならない。
cat,猫,名詞,I feed my cat every morning and every evening.,毎日朝と夜、猫に餌を与えています。
catch,捕まえる,動詞,You will not be able to catch the train.,君はその列車に間に合わないでしょう。
cause,～の原因となる；引き起こす；～させる,動詞,You are always the cause of my worries.,君はいつも頭痛の種だ。
center,中心,名詞,The tourist information center gave a city map to whoever asked it.,観光案内所では、ほしい人には誰にでも町の地図をあげました。
central,中央の； 主要な,形容詞,Isn't this Central Driving School?,そちらはセントラル自動車学校ではないんですか。
certain,確信している；必ず～する；明白である；若干の,形容詞,I'm certain of your success.,僕は君が成功すると確信している。
certainly,確かに,副詞,You've worked hard for months and have certainly earned a holiday.,君は何ヶ月もよく働いたのだから休暇をもらったのは当然のことだ。
chair,椅子,名詞,Your chair is identical to mine.,君のいすは私のと全く同じだ。
chance,機会；可能性；偶然,名詞,Any chance you know where I put my keys?,私はカギを置いたところなんか知りませんか。
change,変える； 変わる,動詞,It would be fun to see how things change over the years.,年月を経て物事がどう変わっていくか見るのは面白そうだ。
charge,請求する,動詞,Banks charge higher interest on loans to risky customers.,銀行はリスクの高い顧客へのローンには高い金利をつける。
cheap,安い,形容詞,Buy cheap and waste your money.,安物買いの銭失い。
check,確認する,動詞,I just wanted to check my email.,メールをチェックしたかっただけ。
chicken,ニワトリ,名詞,Roast chicken is one of my favorite dishes.,ローストチキンは大好きな料理の１つです。
child,子ども,名詞,You are not a child any more.,君はもう子供ではない。
childhood,子供時代,名詞,Yumiko married a childhood friend last June.,ゆみこはこの前の６月に、子供時代の友人と結婚した。
chip,削り取る,動詞,Bob's really a chip off the old block.,ボブは親にそっくりね。
choice,選択,名詞,You have no choice in this matter.,君はこの件については選択の自由はない。
choose,選ぶ,動詞,You may choose either of the two books.,君は、その２冊の本のうち、どちらを選んでもよい。
church,教会,名詞,We could hear the donnnng ... donnnng of the church bells nearby.,近くの教会からカーンカーンという鐘の音がしてきた。
city,市；都市,名詞,Paris is the most beautiful city in the world.,パリは世界で最も美しい街である。
class,階級； ランク;授業,名詞,You never have class or what?!,授業が全然無いとでも言うの？！
clean,きれいな；清潔な,形容詞,You had better make a clean breast of everything.,君はすべてのことを打ち明けるほうがよい。
clear,はっきりした,形容詞,You must clear the table.,君は食卓の上を片づけなければならない。
clearly,はっきりと,副詞,We can clearly see the cycle of the seasons in Canada.,カナダでは季節の循環がはっきり見られます。
climb,登る,動詞,It is difficult for you to climb to the mountaintop.,君が頂上まで登るのはむずかしい。
clock,時計,名詞,The clock in the church tower struck nine.,教会の塔の時計が９時を打った。
close,近い,副詞,How many close friends do you have?,親友は何人いる？
closely,密接に,副詞,The problem closely relates to our everyday life.,その問題は我々の日常生活に密着している。
clothes,衣服,名詞 ,I'm just sorting out some suitable clothes to take on holiday.,休日に着る手頃な着物を今選んでいるところです。
clothing,衣類,名詞,"Food, clothing and shelter are the basis of life.",衣食住は生活の基本です。
club,クラブ； 同好会； 会員制組織， ,名詞,You may as well withdraw from the club right away.,君は直ちにクラブを脱退したほうがよい。
coat,上着;  コート,名詞,The button on your coat is coming off.,君の上着のボタンがとれかかっているよ。
coffee,コーヒー,名詞,Let's have some coffee during recess.,休憩の間にコーヒーを飲みましょう。
cold,冷たい；寒い,形容詞,You'll soon get accustomed to this cold weather.,君はこの寒さにすぐ慣れるだろう。
collect,集める,動詞,Do you collect anything?,何か集めていますか。
collection,収集物(品);  コレクション,名詞,Science is far more than a collection of facts and methods.,科学は単に事実と方法論の集積では決してない。
college,大学；（米）単科大学,名詞,Which college are you aiming for?,君はどこの大学を目指しているのですか。
color,色,名詞,Choose the color you like the best.,君が最も好きな色を選びなさい。
come,行く,動詞,I'll call them tomorrow when I come back.,明日帰ったら電話します。
comfort,快適さ； 安楽,名詞,The nurses must see to the comfort of their patients.,看護婦は患者の快適さに配慮しなくてはいけない。
comfortable,快適な； 心地よい,形容詞,"It's so comfortable here, I really feel at home.",居心地がよく、自分の家みたい。
company,会社,名詞,You had better not keep company with him.,君は彼と交際しない方がよい。
complete,完全にする；完成させる,動詞,"It's a complete mess, and it's getting on my nerves.",あまりに散らかっていていらする。
completely,完全に,副詞,My life would be completely empty without you.,君がいなければ私の人生は全くむなしいだろう。
compute,計算する,動詞,Scientists can easily compute the distance between planets.,科学者は惑星間の距離を容易に計算できる。
computer,コンピュータ,名詞,My computer has got to be useful for something.,私のパソコンは何かの役に立つはずだ。
concern,心配； 懸念,名詞,Excessive concern with safety can be dangerous.,安全にあまりにも気を使いすぎると危険なこともあります。
consider,考慮する；みなす,動詞,Let's consider the worst that could happen.,最悪の場合を考えておこう。
consideration,考慮事項,名詞,You had better take into consideration that you are no longer young.,君は自分がもはや若くないことを考慮に入れたほうがいい。
continue,続く,動詞,You continue making the same mistakes time after time.,君は何度も同じ間違いをし続けている。
continuous,連続的な,形容詞,There was a continuous line of cars.,延々と続く車の列があった。
control,支配する；管理する；抑制する；照査する,動詞,You must control yourself.,君は自制しなければならない。
conversation,会話;  対談,名詞,Wit is to conversation what salt is to food.,会話にとって機知は食物に対する塩のようなものである。
cook,料理する,動詞,It's so hot that you could cook an egg on the hood of a car.,とても暑くて、車のボンネットで卵が焼けるよ。
cool,涼しい；冷たい,形容詞,It would be so cool if I could speak ten languages!,10ヶ国語を話せたらどんなにかっこいいだろう！
corner,コーナー；角；地域；窮地,名詞,The man in the corner addressed himself to the husband.,隅にいた男の人が夫に話しかけた。
cost,費用,名詞,This will cost €30.,３０ユーロになります。
could,～できた,助動詞,"If the world weren't in the shape it is now, I could trust anyone.",もし世界が今の形をしていなかったら、私は誰でも信用できうる。
count,数える；重要である,動詞,You could count to ten when you were two.,君は二歳の時に十まで数えることができた。
country,国,名詞,Why don't we drive out to the country for a change of pace?,気分転換に田舎にドライブに行かないかい。
couple,ペア；カップル,名詞,Could you lend me your bicycle for a couple of days?,君の自転車を２、３日貸してくれませんか。
course,方向;  進路,名詞,You insist upon our taking that course of action.,君は私たちにそう行動せよという。
court,(テニスなどの)コート,名詞,We went to court when they refused to pay for the damage.,我々は彼らが損害賠償を拒んだので告訴した。
cover,蓋;  覆う,名詞,Will this cover the holiday expenses?,休み中の費用は、これで足りるかな？
coverage,報道,名詞,There's no cellphone coverage in this area.,この地域は携帯電話の圏外だ。
crazy,気が狂った；夢中である,形容詞,How did you come up with this crazy idea?,こんな馬鹿げた考えをどうやって思いついたんだ？
crime,犯罪,名詞,He committed one crime after another.,彼は悪事を重ねた。
cross,横断する；交差する，交差している,動詞,"As you have insulted him, he is cross with you.",君が彼を侮辱したので、彼は君に腹を立てている。
cry,泣く,動詞,"Seriously though, episode 21 made me almost cry while laughing.",でもほんとに、エピソード21には涙が出るほど笑ったよ。
cup,カップ,名詞,"I'm glad you enjoy skiing, but I guess it's just not my cup of tea.",君がスキーを楽しむのは嬉しいが、私の趣味じゃないようだ。
cut,切る,動詞,We are cut from the same cloth.,俺たちは同類だよ。
daily,日々,形容詞,Most people write about their daily life.,多くの人が日常のことについて文を書く。
dance,踊る,動詞,Would you like to dance with me?,僕と踊ってくれませんか。
danger,危険,名詞,You are secure from danger here.,君はここなら安全だ。
dangerous,危険な,形容詞,You're stepping into dangerous territory.,君は危険な領域に踏み込んでいるよ。
dark,暗い,形容詞,It's all dark outside.,外は真っ暗だ。
darkness,暗さ；黒さ,名詞,The darkness has not overcome it.,闇はこれに打ち勝たなかった。
date,日付,名詞,We will let you know the time and date of the meeting soon.,会合の日時はおってお知らせします。
daughter,娘,名詞,Your daughter is not a child anymore.,君の娘はもう子供ではない。
day,日,名詞,"Why does one say ""Good day"" when the day is not good?",なぜ、早くないのに、「お早う」というのでしょう？
dead,死んでいる,形容詞,It's a dead end.,行き止まりだ。
deal,分け与える；配る,動詞,We will be willing to make a deal with you after the auction.,競売の後で喜んで取り引きしましょう。
dealer,販売業者,名詞,We have come to an arrangement with the dealer about the price.,我々は価格について業者と相談がまとまった。
dear,親愛な,形容詞,This book is too dear for me.,この本は私に高すぎる。
death,死；死亡,名詞,Students discussed the problem of brain death for a long time.,学生たちは脳死の問題について長々と議論した。
decide,決める,動詞,It is up to you to decide whether we will go there or not.,私たちがそこへ行くかどうかを決めるのは君の責任だ。
deep,深い,形容詞,It's as deep as it is wide.,間口も広いが奥行きも同様に深い。
deeply,深く；深刻に,副詞,You are deeply involved with this.,君はこのことに深い関係がある。
definitely,明確に,副詞,Your idea is definitely worth thinking about.,君のアイディアは確かに検討する価値がある。
degree,度;  程度；レベル,名詞,They are different in degree but not in kind.,それらは程度の差で本質的には違いはない。
depend on,依存する；頼る,動詞,You can depend on his help.,君は彼の援助を当てにすることができる。
dependent,他人に頼っている,形容詞,The taste of wine is largely dependent upon the weather.,ぶどう酒の味は天候に大きく左右されるんです。
depth,深さ,名詞,To weep is to make less the depth of grief.,泣くことは悲しみを和らげる。
die,死ぬ,動詞,I would rather die than live in dishonor.,屈辱を受けて生きるくらいなら死んだ方がましだ。
difference,相違,名詞,There is a fundamental difference between your opinion and mine.,君と私の意見には基本的な違いがある。
different,異なる；いろいろな；変わった,形容詞,I suppose it's different when you think about it over the long term.,長い目で見れば違ってくると思います。
differently,異なって,副詞,We see things differently according to whether we are rich or poor.,金持ちか貧乏かによって、ものの見方が違うものだ。
difficult,難しい,形容詞,It's quite difficult to master French in 2 or 3 years.,２、３年でフランス語に熟達するのはきわめて難しい。
difficulty,難しさ；困難,名詞,You'll have some difficulty in carrying out the plan.,君はその案を実行するのに少し苦労するだろう。
dig,掘る,動詞,"Some people tried to dig the treasure out, but they couldn't.",何人かの人々が宝を掘り出そうとしたができなかった。
dinner,夕食,名詞,"During summer breaks, I ate dinner at midnight.",夏休みの間、私は夜中に夕食を食べていた。
dirty,汚い,形容詞,"He exclaimed, ""What a dirty face you have!""",何と汚れた顔をしているんだ、と彼は私に言った。
discover,発見する,動詞,We have yet to discover an effective remedy for cancer.,癌の効果的な治療法はまだ発見されていない。
discovery,発見,名詞,Scientists regard the discovery as important.,科学者たちはその発見を重大なことだと考えている。
do,する,動詞,I'll do my best not to disturb your studying.,あなたの勉強を邪魔しないようにします。
dog,犬,名詞,Didn't you see a dog pass through the yard?,君は犬が庭を通り抜けて行くのを見なかったかい。
door,ドア,名詞,Close the door when you leave.,去る時はドアを閉めてください。
double,二倍，二倍の、二重の,形容詞,Your book is double the size of mine.,君の本は私の本の２倍の大きさだ。
doubt,疑い,名詞,I don't for a moment doubt your honesty.,君の正直なのを決して疑いはしない。
down,下へ；下って,前置詞,You shouldn't look down on him.,君は彼を軽蔑するべきではない。
draw,線を引く；描く,動詞,Please draw a hundred thousand yen from the bank.,銀行で１０万下ろしてください。
dream,夢,名詞,Do you ever dream about flying through the sky?,君は空を飛ぶ夢を見る事がありますか。
dress,ドレス；ワンピース；服装,名詞,Your dress is unsuitable for the occasion.,君の服装は場所にそぐわない。
drink,飲む,動詞,I went to drink a beer with friends.,私は友達とビールを飲みに行った。
drive,運転する,動詞,You had better not drive a car.,君は車を運転しない方がいい。
driver,運転手,名詞,The load was too heavy for a driver to carry alone.,荷物は重すぎて運転手は１人では運べなかった。
drop,落とす,動詞,"Since you like to write letters, why don't you drop her a line?",君は手紙を書くのが好きだから、彼女に一筆書いたらどうですか。
drug,薬,名詞,The new drug will be tested in Vaxgen's laboratory.,バクスゲン社の研究所で新薬の試験が行われた。
dry,乾いた,形容詞,I will dry your T-shirt.,君のＴシャツを乾かしてあげましょう。
during,～の間に,前置詞,I slept a little during lunch break because I was so tired.,僕はあまりに疲れていたので昼休みにひと眠りした。
each,各；1つ1つの,限定詞,They came to terms with each other on how to start a joint venture.,共同事業の始め方について彼らは互いに話し合いがついた。
ear,耳,名詞,You really have an ear for music.,君は音楽がよくわかるね。
early,早い；初期の,形容詞,The early bird catches the worm.,朝起きは三文の徳。
earth,地球,名詞,What on earth did you take me for?,君は私を一体なんだと思っていたのだ。
easily,簡単に,副詞,"To my surprise, he easily came up with a plan.",驚いたことに、彼は簡単に案を考え出した。
east,東,名詞,The strong east wind lashed at our faces.,強い東風が我々の顔に激しく吹き付けた。
easy,簡単な；ゆったりした,形容詞,You are working too hard. Take it easy for a while.,君は働きすぎだよ。しばらくのんびりしたら。
eat,"食べる
",動詞,Why don't you eat vegetables?,どうして野菜を食べないの？
edge,端；ふち,名詞,I've been on edge recently.,近頃いらいらしています。
educate,教育する,動詞,"In the last analysis, methods don't educate children; people do.",ようするに子供を教育するのは方法ではない。人なのだ。
educational,教育の,形容詞,The educational system is in transition.,教育制度は過渡期にある。
egg,卵,名詞,It's so hot that you could cook an egg on the hood of a car.,とても暑くて、車のボンネットで卵が焼けるよ。
eight,8,数字,Our school begins at eight in the morning.,学校は朝八時から始まります。
eighteen,18,数字,I was eighteen then.,そのとき私は１８歳だった。
eighty,80,数字,Halley's Comet comes round once every eighty years.,ハレー彗星は、８０年ごとに１度やってくる。
